# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-02-19 11:27:50 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05594000 SHOAL CREEK NEAR BREESE, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05594000
#    DD parameter statistic   Description
#    04   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	04_00060_00003	04_00060_00003_cd
USGS	05594000	1910-01-13	2430	A
USGS	05594000	1910-01-14	2880	A
USGS	05594000	1910-01-15	3450	A
USGS	05594000	1910-01-16	3690	A
USGS	05594000	1910-01-17	4670	A
USGS	05594000	1910-01-18	3930	A
USGS	05594000	1910-01-19	3160	A
USGS	05594000	1910-01-20	3200	A
USGS	05594000	1910-01-21	3000	A
USGS	05594000	1910-01-22	1940	A
USGS	05594000	1910-01-23	948	A
USGS	05594000	1910-01-24	606	A
USGS	05594000	1910-01-25	383	A
USGS	05594000	1910-01-26	315	A
USGS	05594000	1910-01-27	349	A
USGS	05594000	1910-01-28	417	A
USGS	05594000	1910-01-29	383	A
USGS	05594000	1910-01-30	349	A
USGS	05594000	1910-01-31	235	A
USGS	05594000	1910-02-01	197	A
USGS	05594000	1910-02-02	149	A
USGS	05594000	1910-02-03	137	A
USGS	05594000	1910-02-04	597	A
USGS	05594000	1910-02-05	553	A
USGS	05594000	1910-02-06	366	A
USGS	05594000	1910-02-07	222	A
USGS	05594000	1910-02-08	185	A
USGS	05594000	1910-02-09	149	A
USGS	05594000	1910-02-10	137	A
USGS	05594000	1910-02-11	132	A
USGS	05594000	1910-02-12	126	A
USGS	05594000	1910-02-13	120	A
USGS	05594000	1910-02-14	115	A
USGS	05594000	1910-02-15	143	A
USGS	05594000	1910-02-16	209	A
USGS	05594000	1910-02-17	349	A
USGS	05594000	1910-02-18	267	A
USGS	05594000	1910-02-19	161	A
USGS	05594000	1910-02-20	137	A
USGS	05594000	1910-02-21	161	A
USGS	05594000	1910-02-22	197	A
USGS	05594000	1910-02-23	366	A
USGS	05594000	1910-02-24	349	A
USGS	05594000	1910-02-25	216	A
USGS	05594000	1910-02-26	267	A
USGS	05594000	1910-02-27	1070	A
USGS	05594000	1910-02-28	3050	A
USGS	05594000	1910-03-01	4290	A
USGS	05594000	1910-03-02	5970	A
USGS	05594000	1910-03-03	6100	A
USGS	05594000	1910-03-04	4930	A
USGS	05594000	1910-03-05	3160	A
USGS	05594000	1910-03-06	1780	A
USGS	05594000	1910-03-07	1020	A
USGS	05594000	1910-03-08	624	A
USGS	05594000	1910-03-09	400	A
USGS	05594000	1910-03-10	332	A
USGS	05594000	1910-03-11	222	A
USGS	05594000	1910-03-12	179	A
USGS	05594000	1910-03-13	149	A
USGS	05594000	1910-03-14	143	A
USGS	05594000	1910-03-15	132	A
USGS	05594000	1910-03-16	126	A
USGS	05594000	1910-03-17	120	A
USGS	05594000	1910-03-18	115	A
USGS	05594000	1910-03-19	115	A
USGS	05594000	1910-03-20	110	A
USGS	05594000	1910-03-21	106	A
USGS	05594000	1910-03-22	110	A
USGS	05594000	1910-03-23	110	A
USGS	05594000	1910-03-24	106	A
USGS	05594000	1910-03-25	106	A
USGS	05594000	1910-03-26	102	A
USGS	05594000	1910-03-27	102	A
USGS	05594000	1910-03-28	98	A
USGS	05594000	1910-03-29	98	A
USGS	05594000	1910-03-30	94	A
USGS	05594000	1910-03-31	94	A
USGS	05594000	1910-04-01	90	A
USGS	05594000	1910-04-02	90	A
USGS	05594000	1910-04-03	90	A
USGS	05594000	1910-04-04	87	A
USGS	05594000	1910-04-05	87	A
USGS	05594000	1910-04-06	251	A
USGS	05594000	1910-04-07	597	A
USGS	05594000	1910-04-08	209	A
USGS	05594000	1910-04-09	149	A
USGS	05594000	1910-04-10	126	A
USGS	05594000	1910-04-11	98	A
USGS	05594000	1910-04-12	98	A
USGS	05594000	1910-04-13	98	A
USGS	05594000	1910-04-14	102	A
USGS	05594000	1910-04-15	185	A
USGS	05594000	1910-04-16	1150	A
USGS	05594000	1910-04-17	2210	A
USGS	05594000	1910-04-18	2520	A
USGS	05594000	1910-04-19	2240	A
USGS	05594000	1910-04-20	957	A
USGS	05594000	1910-04-21	434	A
USGS	05594000	1910-04-22	251	A
USGS	05594000	1910-04-23	185	A
USGS	05594000	1910-04-24	149	A
USGS	05594000	1910-04-25	161	A
USGS	05594000	1910-04-26	155	A
USGS	05594000	1910-04-27	173	A
USGS	05594000	1910-04-28	197	A
USGS	05594000	1910-04-29	173	A
USGS	05594000	1910-04-30	143	A
USGS	05594000	1910-05-01	137	A
USGS	05594000	1910-05-02	132	A
USGS	05594000	1910-05-03	1070	A
USGS	05594000	1910-05-04	2190	A
USGS	05594000	1910-05-05	1920	A
USGS	05594000	1910-05-06	1580	A
USGS	05594000	1910-05-07	966	A
USGS	05594000	1910-05-08	1110	A
USGS	05594000	1910-05-09	1620	A
USGS	05594000	1910-05-10	966	A
USGS	05594000	1910-05-11	588	A
USGS	05594000	1910-05-12	434	A
USGS	05594000	1910-05-13	1130	A
USGS	05594000	1910-05-14	1990	A
USGS	05594000	1910-05-15	966	A
USGS	05594000	1910-05-16	606	A
USGS	05594000	1910-05-17	222	A
USGS	05594000	1910-05-18	185	A
USGS	05594000	1910-05-19	167	A
USGS	05594000	1910-05-20	143	A
USGS	05594000	1910-05-21	126	A
USGS	05594000	1910-05-22	267	A
USGS	05594000	1910-05-23	2340	A
USGS	05594000	1910-05-24	2810	A
USGS	05594000	1910-05-25	3000	A
USGS	05594000	1910-05-26	3690	A
USGS	05594000	1910-05-27	4600	A
USGS	05594000	1910-05-28	4170	A
USGS	05594000	1910-05-29	1600	A
USGS	05594000	1910-05-30	1150	A
USGS	05594000	1910-05-31	2010	A
USGS	05594000	1910-06-01	786	A
USGS	05594000	1910-06-02	588	A
USGS	05594000	1910-06-03	235	A
USGS	05594000	1910-06-04	606	A
USGS	05594000	1910-06-05	2270	A
USGS	05594000	1910-06-06	2450	A
USGS	05594000	1910-06-07	1000	A
USGS	05594000	1910-06-08	485	A
USGS	05594000	1910-06-09	349	A
USGS	05594000	1910-06-10	400	A
USGS	05594000	1910-06-11	267	A
USGS	05594000	1910-06-12	185	A
USGS	05594000	1910-06-13	149	A
USGS	05594000	1910-06-14	115	A
USGS	05594000	1910-06-15	267	A
USGS	05594000	1910-06-16	624	A
USGS	05594000	1910-06-17	822	A
USGS	05594000	1910-06-18	149	A
USGS	05594000	1910-06-19	132	A
USGS	05594000	1910-06-20	1060	A
USGS	05594000	1910-06-21	1300	A
USGS	05594000	1910-06-22	519	A
USGS	05594000	1910-06-23	126	A
USGS	05594000	1910-06-24	106	A
USGS	05594000	1910-06-25	98	A
USGS	05594000	1910-06-26	102	A
USGS	05594000	1910-06-27	222	A
USGS	05594000	1910-06-28	768	A
USGS	05594000	1910-06-29	267	A
USGS	05594000	1910-06-30	115	A
USGS	05594000	1910-07-01	106	A
USGS	05594000	1910-07-02	102	A
USGS	05594000	1910-07-03	126	A
USGS	05594000	1910-07-04	106	A
USGS	05594000	1910-07-05	553	A
USGS	05594000	1910-07-06	1050	A
USGS	05594000	1910-07-07	894	A
USGS	05594000	1910-07-08	349	A
USGS	05594000	1910-07-09	115	A
USGS	05594000	1910-07-10	126	A
USGS	05594000	1910-07-11	209	A
USGS	05594000	1910-07-12	115	A
USGS	05594000	1910-07-13	126	A
USGS	05594000	1910-07-14	137	A
USGS	05594000	1910-07-15	106	A
USGS	05594000	1910-07-16	1480	A
USGS	05594000	1910-07-17	2230	A
USGS	05594000	1910-07-18	2860	A
USGS	05594000	1910-07-19	2960	A
USGS	05594000	1910-07-20	1760	A
USGS	05594000	1910-07-21	714	A
USGS	05594000	1910-07-22	299	A
USGS	05594000	1910-07-23	267	A
USGS	05594000	1910-07-24	251	A
USGS	05594000	1910-07-25	115	A
USGS	05594000	1910-07-26	106	A
USGS	05594000	1910-07-27	94	A
USGS	05594000	1910-07-28	72	A
USGS	05594000	1910-07-29	90	A
USGS	05594000	1910-07-30	87	A
USGS	05594000	1910-07-31	84	A
USGS	05594000	1910-08-01	84	A
USGS	05594000	1910-08-02	72	A
USGS	05594000	1910-08-03	78	A
USGS	05594000	1910-08-04	81	A
USGS	05594000	1910-08-05	78	A
USGS	05594000	1910-08-06	78	A
USGS	05594000	1910-08-07	78	A
USGS	05594000	1910-08-08	78	A
USGS	05594000	1910-08-09	81	A
USGS	05594000	1910-08-10	78	A
USGS	05594000	1910-08-11	78	A
USGS	05594000	1910-08-12	78	A
USGS	05594000	1910-08-13	78	A
USGS	05594000	1910-08-14	78	A
USGS	05594000	1910-08-15	75	A
USGS	05594000	1910-08-16	75	A
USGS	05594000	1910-08-17	78	A
USGS	05594000	1910-08-18	126	A
USGS	05594000	1910-08-19	267	A
USGS	05594000	1910-08-20	588	A
USGS	05594000	1910-08-21	366	A
USGS	05594000	1910-08-22	642	A
USGS	05594000	1910-08-23	1740	A
USGS	05594000	1910-08-24	3100	A
USGS	05594000	1910-08-25	3450	A
USGS	05594000	1910-08-26	2740	A
USGS	05594000	1910-08-27	1090	A
USGS	05594000	1910-08-28	417	A
USGS	05594000	1910-08-29	209	A
USGS	05594000	1910-08-30	126	A
USGS	05594000	1910-08-31	106	A
USGS	05594000	1910-09-01	98	A
USGS	05594000	1910-09-02	102	A
USGS	05594000	1910-09-03	98	A
USGS	05594000	1910-09-04	2190	A
USGS	05594000	1910-09-05	2500	A
USGS	05594000	1910-09-06	2790	A
USGS	05594000	1910-09-07	3340	A
USGS	05594000	1910-09-08	3510	A
USGS	05594000	1910-09-09	2810	A
USGS	05594000	1910-09-10	1940	A
USGS	05594000	1910-09-11	1130	A
USGS	05594000	1910-09-12	283	A
USGS	05594000	1910-09-13	149	A
USGS	05594000	1910-09-14	137	A
USGS	05594000	1910-09-15	132	A
USGS	05594000	1910-09-16	126	A
USGS	05594000	1910-09-17	106	A
USGS	05594000	1910-09-18	102	A
USGS	05594000	1910-09-19	98	A
USGS	05594000	1910-09-20	90	A
USGS	05594000	1910-09-21	90	A
USGS	05594000	1910-09-22	94	A
USGS	05594000	1910-09-23	94	A
USGS	05594000	1910-09-24	126	A
USGS	05594000	1910-09-25	434	A
USGS	05594000	1910-09-26	1380	A
USGS	05594000	1910-09-27	2030	A
USGS	05594000	1910-09-28	1900	A
USGS	05594000	1910-09-29	485	A
USGS	05594000	1910-09-30	173	A
USGS	05594000	1910-10-01	161	A
USGS	05594000	1910-10-02	126	A
USGS	05594000	1910-10-03	102	A
USGS	05594000	1910-10-04	197	A
USGS	05594000	1910-10-05	642	A
USGS	05594000	1910-10-06	3000	A
USGS	05594000	1910-10-07	3510	A
USGS	05594000	1910-10-08	5060	A
USGS	05594000	1910-10-09	5900	A
USGS	05594000	1910-10-10	4800	A
USGS	05594000	1910-10-11	1580	A
USGS	05594000	1910-10-12	930	A
USGS	05594000	1910-10-13	434	A
USGS	05594000	1910-10-14	366	A
USGS	05594000	1910-10-15	315	A
USGS	05594000	1910-10-16	267	A
USGS	05594000	1910-10-17	126	A
USGS	05594000	1910-10-18	115	A
USGS	05594000	1910-10-19	110	A
USGS	05594000	1910-10-20	106	A
USGS	05594000	1910-10-21	106	A
USGS	05594000	1910-10-22	106	A
USGS	05594000	1910-10-23	106	A
USGS	05594000	1910-10-24	106	A
USGS	05594000	1910-10-25	102	A
USGS	05594000	1910-10-26	102	A
USGS	05594000	1910-10-27	98	A
USGS	05594000	1910-10-28	98	A
USGS	05594000	1910-10-29	94	A
USGS	05594000	1910-10-30	90	A
USGS	05594000	1910-10-31	87	A
USGS	05594000	1910-11-01	90	A
USGS	05594000	1910-11-02	84	A
USGS	05594000	1910-11-03	87	A
USGS	05594000	1910-11-04	87	A
USGS	05594000	1910-11-05	84	A
USGS	05594000	1910-11-06	87	A
USGS	05594000	1910-11-07	84	A
USGS	05594000	1910-11-08	87	A
USGS	05594000	1910-11-09	87	A
USGS	05594000	1910-11-10	84	A
USGS	05594000	1910-11-11	84	A
USGS	05594000	1910-11-12	81	A
USGS	05594000	1910-11-13	84	A
USGS	05594000	1910-11-14	84	A
USGS	05594000	1910-11-15	81	A
USGS	05594000	1910-11-16	84	A
USGS	05594000	1910-11-17	81	A
USGS	05594000	1910-11-18	84	A
USGS	05594000	1910-11-19	84	A
USGS	05594000	1910-11-20	81	A
USGS	05594000	1910-11-21	84	A
USGS	05594000	1910-11-22	81	A
USGS	05594000	1910-11-23	84	A
USGS	05594000	1910-11-24	84	A
USGS	05594000	1910-11-25	81	A
USGS	05594000	1910-11-26	84	A
USGS	05594000	1910-11-27	81	A
USGS	05594000	1910-11-28	87	A
USGS	05594000	1910-11-29	209	A
USGS	05594000	1910-11-30	120	A
USGS	05594000	1910-12-01	106	A
USGS	05594000	1910-12-02	90	A
USGS	05594000	1910-12-03	80	A
USGS	05594000	1910-12-04	70	A
USGS	05594000	1910-12-05	60	A
USGS	05594000	1910-12-06	50	A
USGS	05594000	1910-12-07	42	A
USGS	05594000	1910-12-08	42	A
USGS	05594000	1910-12-09	42	A
USGS	05594000	1910-12-10	42	A
USGS	05594000	1910-12-11	42	A
USGS	05594000	1910-12-12	42	A
USGS	05594000	1910-12-13	42	A
USGS	05594000	1910-12-14	42	A
USGS	05594000	1910-12-15	40	A
USGS	05594000	1910-12-16	40	A
USGS	05594000	1910-12-17	40	A
USGS	05594000	1910-12-18	40	A
USGS	05594000	1910-12-19	40	A
USGS	05594000	1910-12-20	40	A
USGS	05594000	1910-12-21	40	A
USGS	05594000	1910-12-22	40	A
USGS	05594000	1910-12-23	40	A
USGS	05594000	1910-12-24	40	A
USGS	05594000	1910-12-25	40	A
USGS	05594000	1910-12-26	40	A
USGS	05594000	1910-12-27	40	A
USGS	05594000	1910-12-28	81	A
USGS	05594000	1910-12-29	115	A
USGS	05594000	1910-12-30	588	A
USGS	05594000	1910-12-31	519	A
USGS	05594000	1911-01-01	132	A
USGS	05594000	1911-01-02	221	A
USGS	05594000	1911-01-03	485	A
USGS	05594000	1911-01-04	332	A
USGS	05594000	1911-01-05	235	A
USGS	05594000	1911-01-06	151	A
USGS	05594000	1911-01-07	118	A
USGS	05594000	1911-01-08	110	A
USGS	05594000	1911-01-09	98	A
USGS	05594000	1911-01-10	98	A
USGS	05594000	1911-01-11	98	A
USGS	05594000	1911-01-12	98	A
USGS	05594000	1911-01-13	110	A
USGS	05594000	1911-01-14	132	A
USGS	05594000	1911-01-15	110	A
USGS	05594000	1911-01-16	696	A
USGS	05594000	1911-01-17	283	A
USGS	05594000	1911-01-18	208	A
USGS	05594000	1911-01-19	132	A
USGS	05594000	1911-01-20	114	A
USGS	05594000	1911-01-21	110	A
USGS	05594000	1911-01-22	102	A
USGS	05594000	1911-01-23	98	A
USGS	05594000	1911-01-24	102	A
USGS	05594000	1911-01-25	110	A
USGS	05594000	1911-01-26	106	A
USGS	05594000	1911-01-27	118	A
USGS	05594000	1911-01-28	858	A
USGS	05594000	1911-01-29	1990	A
USGS	05594000	1911-01-30	1010	A
USGS	05594000	1911-01-31	417	A
USGS	05594000	1911-02-01	299	A
USGS	05594000	1911-02-02	251	A
USGS	05594000	1911-02-03	172	A
USGS	05594000	1911-02-04	123	A
USGS	05594000	1911-02-05	114	A
USGS	05594000	1911-02-06	195	A
USGS	05594000	1911-02-07	417	A
USGS	05594000	1911-02-08	786	A
USGS	05594000	1911-02-09	383	A
USGS	05594000	1911-02-10	208	A
USGS	05594000	1911-02-11	166	A
USGS	05594000	1911-02-12	141	A
USGS	05594000	1911-02-13	118	A
USGS	05594000	1911-02-14	132	A
USGS	05594000	1911-02-15	178	A
USGS	05594000	1911-02-16	307	A
USGS	05594000	1911-02-17	536	A
USGS	05594000	1911-02-18	903	A
USGS	05594000	1911-02-19	1340	A
USGS	05594000	1911-02-20	2300	A
USGS	05594000	1911-02-21	2090	A
USGS	05594000	1911-02-22	1520	A
USGS	05594000	1911-02-23	903	A
USGS	05594000	1911-02-24	885	A
USGS	05594000	1911-02-25	876	A
USGS	05594000	1911-02-26	1540	A
USGS	05594000	1911-02-27	2160	A
USGS	05594000	1911-02-28	2280	A
USGS	05594000	1911-03-01	1200	A
USGS	05594000	1911-03-02	468	A
USGS	05594000	1911-03-03	340	A
USGS	05594000	1911-03-04	267	A
USGS	05594000	1911-03-05	214	A
USGS	05594000	1911-03-06	195	A
USGS	05594000	1911-03-07	759	A
USGS	05594000	1911-03-08	2420	A
USGS	05594000	1911-03-09	2770	A
USGS	05594000	1911-03-10	2860	A
USGS	05594000	1911-03-11	1850	A
USGS	05594000	1911-03-12	822	A
USGS	05594000	1911-03-13	358	A
USGS	05594000	1911-03-14	349	A
USGS	05594000	1911-03-15	259	A
USGS	05594000	1911-03-16	183	A
USGS	05594000	1911-03-17	161	A
USGS	05594000	1911-03-18	156	A
USGS	05594000	1911-03-19	172	A
USGS	05594000	1911-03-20	151	A
USGS	05594000	1911-03-21	132	A
USGS	05594000	1911-03-22	123	A
USGS	05594000	1911-03-23	118	A
USGS	05594000	1911-03-24	114	A
USGS	05594000	1911-03-25	106	A
USGS	05594000	1911-03-26	110	A
USGS	05594000	1911-03-27	510	A
USGS	05594000	1911-03-28	678	A
USGS	05594000	1911-03-29	299	A
USGS	05594000	1911-03-30	141	A
USGS	05594000	1911-03-31	132	A
USGS	05594000	1911-04-01	123	A
USGS	05594000	1911-04-02	118	A
USGS	05594000	1911-04-03	146	A
USGS	05594000	1911-04-04	349	A
USGS	05594000	1911-04-05	1170	A
USGS	05594000	1911-04-06	2190	A
USGS	05594000	1911-04-07	1740	A
USGS	05594000	1911-04-08	678	A
USGS	05594000	1911-04-09	417	A
USGS	05594000	1911-04-10	358	A
USGS	05594000	1911-04-11	161	A
USGS	05594000	1911-04-12	151	A
USGS	05594000	1911-04-13	957	A
USGS	05594000	1911-04-14	1910	A
USGS	05594000	1911-04-15	2620	A
USGS	05594000	1911-04-16	2770	A
USGS	05594000	1911-04-17	1400	A
USGS	05594000	1911-04-18	732	A
USGS	05594000	1911-04-19	696	A
USGS	05594000	1911-04-20	606	A
USGS	05594000	1911-04-21	553	A
USGS	05594000	1911-04-22	485	A
USGS	05594000	1911-04-23	434	A
USGS	05594000	1911-04-24	383	A
USGS	05594000	1911-04-25	349	A
USGS	05594000	1911-04-26	299	A
USGS	05594000	1911-04-27	128	A
USGS	05594000	1911-04-28	141	A
USGS	05594000	1911-04-29	442	A
USGS	05594000	1911-04-30	1040	A
USGS	05594000	1911-05-01	3050	A
USGS	05594000	1911-05-02	3130	A
USGS	05594000	1911-05-03	3450	A
USGS	05594000	1911-05-04	3510	A
USGS	05594000	1911-05-05	2450	A
USGS	05594000	1911-05-06	786	A
USGS	05594000	1911-05-07	624	A
USGS	05594000	1911-05-08	275	A
USGS	05594000	1911-05-09	208	A
USGS	05594000	1911-05-10	141	A
USGS	05594000	1911-05-11	118	A
USGS	05594000	1911-05-12	74	A
USGS	05594000	1911-05-13	70	A
USGS	05594000	1911-05-14	114	A
USGS	05594000	1911-05-15	110	A
USGS	05594000	1911-05-16	106	A
USGS	05594000	1911-05-17	106	A
USGS	05594000	1911-05-18	98	A
USGS	05594000	1911-05-19	90	A
USGS	05594000	1911-05-20	86	A
USGS	05594000	1911-05-21	82	A
USGS	05594000	1911-05-22	98	A
USGS	05594000	1911-05-23	94	A
USGS	05594000	1911-05-24	82	A
USGS	05594000	1911-05-25	90	A
USGS	05594000	1911-05-26	86	A
USGS	05594000	1911-05-27	74	A
USGS	05594000	1911-05-28	66	A
USGS	05594000	1911-05-29	66	A
USGS	05594000	1911-05-30	74	A
USGS	05594000	1911-05-31	78	A
USGS	05594000	1911-06-01	90	A
USGS	05594000	1911-06-02	86	A
USGS	05594000	1911-06-03	82	A
USGS	05594000	1911-06-04	82	A
USGS	05594000	1911-06-05	82	A
USGS	05594000	1911-06-06	78	A
USGS	05594000	1911-06-07	74	A
USGS	05594000	1911-06-08	74	A
USGS	05594000	1911-06-09	66	A
USGS	05594000	1911-06-10	66	A
USGS	05594000	1911-06-11	66	A
USGS	05594000	1911-06-12	62	A
USGS	05594000	1911-06-13	62	A
USGS	05594000	1911-06-14	62	A
USGS	05594000	1911-06-15	62	A
USGS	05594000	1911-06-16	62	A
USGS	05594000	1911-06-17	62	A
USGS	05594000	1911-06-18	62	A
USGS	05594000	1911-06-19	62	A
USGS	05594000	1911-06-20	62	A
USGS	05594000	1911-06-21	62	A
USGS	05594000	1911-06-22	62	A
USGS	05594000	1911-06-23	62	A
USGS	05594000	1911-06-24	66	A
USGS	05594000	1911-06-25	74	A
USGS	05594000	1911-06-26	172	A
USGS	05594000	1911-06-27	141	A
USGS	05594000	1911-06-28	98	A
USGS	05594000	1911-06-29	86	A
USGS	05594000	1911-06-30	74	A
USGS	05594000	1911-07-01	74	A
USGS	05594000	1911-07-02	74	A
USGS	05594000	1911-07-03	74	A
USGS	05594000	1911-07-04	74	A
USGS	05594000	1911-07-05	74	A
USGS	05594000	1911-07-06	70	A
USGS	05594000	1911-07-07	70	A
USGS	05594000	1911-07-08	70	A
USGS	05594000	1911-07-09	66	A
USGS	05594000	1911-07-10	62	A
USGS	05594000	1911-07-11	58	A
USGS	05594000	1911-07-12	58	A
USGS	05594000	1911-07-13	58	A
USGS	05594000	1911-07-14	58	A
USGS	05594000	1911-07-15	54	A
USGS	05594000	1911-07-16	54	A
USGS	05594000	1911-07-17	54	A
USGS	05594000	1911-07-18	54	A
USGS	05594000	1911-07-19	54	A
USGS	05594000	1911-07-20	54	A
USGS	05594000	1911-07-21	54	A
USGS	05594000	1911-07-22	54	A
USGS	05594000	1911-07-23	54	A
USGS	05594000	1911-07-24	54	A
USGS	05594000	1911-07-25	51	A
USGS	05594000	1911-07-26	51	A
USGS	05594000	1911-07-27	51	A
USGS	05594000	1911-07-28	48	A
USGS	05594000	1911-07-29	48	A
USGS	05594000	1911-07-30	58	A
USGS	05594000	1911-07-31	54	A
USGS	05594000	1911-08-01	54	A
USGS	05594000	1911-08-02	51	A
USGS	05594000	1911-08-03	51	A
USGS	05594000	1911-08-04	54	A
USGS	05594000	1911-08-05	54	A
USGS	05594000	1911-08-06	51	A
USGS	05594000	1911-08-07	51	A
USGS	05594000	1911-08-08	51	A
USGS	05594000	1911-08-09	161	A
USGS	05594000	1911-08-10	434	A
USGS	05594000	1911-08-11	383	A
USGS	05594000	1911-08-12	189	A
USGS	05594000	1911-08-13	132	A
USGS	05594000	1911-08-14	114	A
USGS	05594000	1911-08-15	78	A
USGS	05594000	1911-08-16	74	A
USGS	05594000	1911-08-17	70	A
USGS	05594000	1911-08-18	66	A
USGS	05594000	1911-08-19	58	A
USGS	05594000	1911-08-20	58	A
USGS	05594000	1911-08-21	58	A
USGS	05594000	1911-08-22	58	A
USGS	05594000	1911-08-23	58	A
USGS	05594000	1911-08-24	58	A
USGS	05594000	1911-08-25	58	A
USGS	05594000	1911-08-26	58	A
USGS	05594000	1911-08-27	58	A
USGS	05594000	1911-08-28	70	A
USGS	05594000	1911-08-29	82	A
USGS	05594000	1911-08-30	90	A
USGS	05594000	1911-08-31	86	A
USGS	05594000	1911-09-01	66	A
USGS	05594000	1911-09-02	62	A
USGS	05594000	1911-09-03	58	A
USGS	05594000	1911-09-04	58	A
USGS	05594000	1911-09-05	74	A
USGS	05594000	1911-09-06	132	A
USGS	05594000	1911-09-07	208	A
USGS	05594000	1911-09-08	332	A
USGS	05594000	1911-09-09	633	A
USGS	05594000	1911-09-10	349	A
